Pertanyaan,Jawaban
Siapa nama koordinator dosen mata kuliah strategi algoritma 2018/2019?,Rinaldi Munir
Siapa nama koordas strategi algoritma?,Kevin Andrian Liwinata
Berapa jumlah SKS minimal untuk lulus S1 di ITB?,144 SKS
Apa kepanjangan SKSD?,Sistem Komunikasi Satelit Domestik
Tanggal berapa diadakan pemilu tahun ini?,17-Apr-19
Sudah berapa kali diadakan pemilu presiden?,4 Kali
Pemilu diadakan berapa kali setahun?,5 tahun sekali
Siapa saja pembuat anda?,"Andrian, Anissa, dan Fajar"
Apa saja stack yang dipakai untuk membuat anda?,<apa ni maksudnya aing gapaham>
Apa nama ibukota Indonesia?,DKI Jakarta
Nama ibukota Indonesia sebelum disebut Jakarta adalah?,Jayakarta
Siapa pembuat algoritma KMP?,Knuth-Morris-Prat
Siapa pemain catur nomor satu dunia sekarang?,Magnus Carlsen
Apa nama blackhole yang berada di tengah galaksi bimasakti?,Blackhole M87
"Siapa nama pemain karakter wanita yang direbutkan oleh kedua pria dalam lagu ""Adu Rayu""?",Velove Vexia
Berapa jumlah presiden Indonesia?,Tujuh orang
Tahun berapa Indonesia merdeka?,1945
Berapa tahun Indonesia dijajah Jepang?,3 setengah tahun
Dimana Soekarno memproklamasikan kemerdekaan Indonesia?,Jl. Pegangsaan Timur No.56
Dimana kantin terdekat Labtek 5?,Kantin Borju
Halo,Halo juga
Siapa nama kamu?,Aku bot yang bernama AFA
Kapan kamu lahir?,Aku lahir pada 22 April 2019
Bagaimana kabar kamu?,Kabarku baik :)
Dimana kamu tinggal?,Aku tinggal di Bandung
Hai,Hai juga
Dengan bahasa apa kamu dibuat?,Aku dibuat menggunakan bahasa Python.
Apa itu bahasa Python?,Python adalah bahasa pemrograman interpretatif multiguna dengan filosofi perancangan yang berfokus pada tingkat keterbacaan kode.
Siapa pencipta bahasa Python?,Guido van Rossum
Kenapa bahasa Python dinamakan Python?,Nama Python dipilih karena kecintaan pembuatnya pada acara televisi Monty Python's Flying Circus.
